Sample Name,QC Flag (0 - high qulaity),Site,Plot,Year,Species,Rep,Latitude,Longitude,Elevation (m),Dbh (cm),Ht (m),Date,DOY,Time of Day,%N,LMA (g m-2),Leaf water Content,Leaf size (cm2),15N,13C,%C,C/N,Licor Obs #,PAR Setpoint (umol m-2 s-1),PAR Incident on leaf (umol m-2 s-1),PAR absorbed by leaf (umol m-2 s-1),Absorbed Shortwave Radiation (W/m-2),Heat exchange setpoint (oC),CO2 Setpoint (µmol mol?¹),H2O setpoint (mmol mol-1),Net CO2 Assimilation Rate (umol CO2 m-2 s-1),Transpiration Rate (mol m?² s?¹),Ambient CO2 (µmol mol?¹),Intercellular CO2 (µmol mol?¹),Stomatal Conductance to Water Vapor (mol m-2 s-1),Boundary Layer Conductance to Water Vapor (mol m-2 s-1),Total Conductance to Water Vapor (mol m-2 s-1),Total Conductance to CO2 (mol m-2 s-1),Leaf Temperature used for gas exchange computations (oC),Chamber Air Temperature (oC),Leaf Thermocouple 1 (oC),Saturation vapor pressure at leaf temperature  (kPa),Relative Humidity of Chamber (%),Vapor Pressure of Chamber (kPa),Saturation vapor pressure in chamber (kPa),Vapor pressure deficit at leaf temperature (kPa),LatHFlux (W m-2),SenHFlux (W m-2),NetTherm (W m-2),EBSum (W m-2),Leak from chamber  (umol s-1),Leak as percent of flow (%),Correction factor (K),Correction factor as a percent (%),Sample Cell CO2 conc (µmol mol?¹),Reference Cell CO2 conc (µmol mol?¹),Sample Cell H2O conc (mmol mol?¹),Reference Cell H2O conc (mmol mol?¹),Flow rate to chamber (µmol s?¹),Atmospheric Pressure (kPa),Fan Speed (rpm),Flow through sample cell (µmol s?¹),Flow through reference cell (µmol s?¹),filename,Net CO2 uptake (nmol g leaf-1 s-1),PSN eq 1,pSN eq 2,PSN eq 3,inti_a,a1_init,Amax_init
BEF-34K-FAGR-5-2017,0,BEF,34K,2017,FAGR,5,44,71,307,-9999,13.8,7/28/2017,209,12:41 PM,0.0201,46.77,-9999,73.12,-1.55,-29.73,0.4577,22.76,4,700,700.01,590.11,115.65,29.21,400,24.85,7.13,0.000927,392.3,184.9,0.0578,2.23,0.0569,0.0357,29.06,29.35,29.04,4.04,60.74,2.5,4.11,1.54,-40.88,38.15,3.78,116.69,0,0,1,0,392.3,399.81,25.54,24.64,600.05,97.61,9996,636.75,322.99,2017-07-28-34K-5-FAGR-LRC,152.4481505,6.965193931,6.511645213,145.5560494,0.2306118,1.047680137,152.4481505
BEF-34K-FAGR-5-2017,0,BEF,34K,2017,FAGR,5,44,71,307,-9999,13.8,7/28/2017,209,12:42 PM,0.0201,46.77,-9999,73.12,-1.55,-29.73,0.4577,22.76,5,400,400.1,337.28,66.11,34.56,400,23.67,6.95,0.00114,392.35,221.78,0.0695,2.22,0.0683,0.0428,28.73,29.8,28.74,3.96,56.7,2.39,4.21,1.57,-50.09,126.93,12.62,155.56,0,0,1,0,392.36,399.77,24.42,23.32,600.02,97.6,9991,637.77,321.43,2017-07-28-34K-5-FAGR-LRC,148.5995296,6.061065117,5.714693805,123.3444426,0.3939491,1.047680137,152.4481505
BEF-34K-FAGR-5-2017,0,BEF,34K,2017,FAGR,5,44,71,307,-9999,13.8,7/28/2017,209,12:43 PM,0.0201,46.77,-9999,73.12,-1.55,-29.73,0.4577,22.76,6,200,199.84,168.47,33.07,35.39,400,23.98,5.86,0.00133,393.47,269.6,0.0829,2.22,0.0812,0.0509,28.89,30.38,28.9,4,56.28,2.45,4.35,1.55,-58.57,177.48,17.68,169.66,0,0,1,0,393.46,399.83,25.06,23.78,599.98,97.6,10020,637.53,321.85,2017-07-28-34K-5-FAGR-LRC,125.2939919,4.649431385,4.442863495,89.95998399,0.6713705,1.047680137,152.4481505
BEF-34K-FAGR-5-2017,0,BEF,34K,2017,FAGR,5,44,71,307,-9999,13.8,7/28/2017,209,12:43 PM,0.0201,46.77,-9999,73.12,-1.55,-29.73,0.4577,22.76,7,100,100.24,84.51,16.56,32.08,400,24,3.95,0.00122,395.56,306.67,0.0801,2.22,0.0785,0.0492,28.72,30.17,28.72,3.96,57.81,2.49,4.3,1.47,-53.75,174.48,17.35,154.63,0,0,1,0,395.56,400.01,25.43,24.23,600.02,97.6,10019,637.13,322.03,2017-07-28-34K-5-FAGR-LRC,84.45584777,3.17943643,3.081463265,56.77324807,0.9343596,1.047680137,152.4481505
BEF-34K-FAGR-5-2017,0,BEF,34K,2017,FAGR,5,44,71,307,-9999,13.8,7/28/2017,209,12:44 PM,0.0201,46.77,-9999,73.12,-1.55,-29.73,0.4577,22.76,8,50,49.76,41.95,8.29,33.04,400,23.95,1.97,0.00133,397.48,350.03,0.0845,2.23,0.0828,0.0519,28.79,30.36,28.79,3.97,56.5,2.46,4.35,1.52,-58.47,188.51,18.76,157.08,0,0,1,0,397.49,399.97,25.12,23.83,600.02,97.6,10011,637.18,321.76,2017-07-28-34K-5-FAGR-LRC,42.12101775,1.934500669,1.897787948,29.8462524,1.0220227,1.047680137,152.4481505
BEF-34K-FAGR-5-2017,0,BEF,34K,2017,FAGR,5,44,71,307,-9999,13.8,7/28/2017,209,12:44 PM,0.0201,46.77,-9999,73.12,-1.55,-29.73,0.4577,22.76,9,10,9.97,8.4,1.65,33.46,400,24.16,0.07,0.00126,399.48,387.95,0.0797,2.22,0.0782,0.049,28.85,30.52,28.85,3.99,56.18,2.47,4.39,1.52,-55.48,199.63,19.89,165.7,0,0,1,0,399.49,400.04,25.21,23.98,600.01,97.6,10023,637,321.85,2017-07-28-34K-5-FAGR-LRC,1.49668591,0.471471706,0.469259281,-0.503405248,1.0476801,1.047680137,152.4481505
BEF-34K-FAGR-5-2017,0,BEF,34K,2017,FAGR,5,44,71,307,-9999,13.8,7/28/2017,209,12:45 PM,0.0201,46.77,-9999,73.12,-1.55,-29.73,0.4577,22.76,10,0,0,0,0,32.73,400,24.46,-0.42,0.00117,399.91,398.89,0.074,2.22,0.0727,0.0455,28.95,30.63,28.95,4.01,56.34,2.49,4.42,1.52,-51.61,200.63,20.04,169.06,0,0,1,0,399.91,399.95,25.45,24.3,600.04,97.6,9995,636.8,322.32,2017-07-28-34K-5-FAGR-LRC,-8.980115459,0,0,-10,7777777,1.047680137,152.4481505
BEF-34K-BEAL-7-2017,0,BEF,34K,2017,BEAL,7,44,71,307,-9999,14.1,7/28/2017,209,2:31 PM,0.0166,58.98,-9999,15.43,-3.56,-29.69,0.4551,27.38,1,2000,1999.91,1685.92,330.47,21.66,400,25.57,8.65,-0.000857,391.92,390.02,-5,2.22,-0.0472,4.37,30.12,27.3,30.11,4.29,70.67,2.57,3.64,1.71,37.8,-337.16,-33.33,-2.21,0,0,1,0,391.94,400.26,26.32,27.16,600.03,97.59,9983,635.01,319.55,2017-07-28-34K-7-BEAL-LRC,146.6598847,7.999971199,7.407382715,171.817438,7777777,1.169888098,146.6598847
BEF-34K-BEAL-7-2017,0,BEF,34K,2017,BEAL,7,44,71,307,-9999,14.1,7/28/2017,209,2:33 PM,0.0166,58.98,-9999,15.43,-3.56,-29.69,0.4551,27.38,2,1500,1499.83,1264.36,247.86,25.99,400,25.26,8.65,0.00166,390.58,244.69,0.103,2.25,0.1,0.0629,29.58,28.08,29.58,4.16,68.19,2.6,3.81,1.56,-73.05,-182.59,-17.87,-25.65,0,0,1,0,390.6,399.89,26.59,24.97,600.05,97.6,10154,637.02,317.28,2017-07-28-34K-7-BEAL-LRC,146.6598847,7.792116031,7.228836688,166.4682351,7777777,1.169888098,146.6598847
BEF-34K-BEAL-7-2017,0,BEF,34K,2017,BEAL,7,44,71,307,-9999,14.1,7/28/2017,209,2:34 PM,0.0166,58.98,-9999,15.43,-3.56,-29.69,0.4551,27.38,3,1000,1000.12,843.1,165.25,31.99,400,23.13,8.44,0.00234,390.66,288.02,0.149,2.23,0.143,0.09,28.82,28.52,28.83,3.98,62.37,2.44,3.91,1.54,-103.05,-37.81,-3.73,20.66,0,0,1,0,390.65,400.01,24.92,22.65,600.04,97.59,10016,637.96,314.96,2017-07-28-34K-7-BEAL-LRC,143.0993557,7.407539081,6.896665862,156.6699997,7777777,1.169888098,146.6598847
